Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt7019842,2021-05-11,2021-05-11,it has power to make you cry ,96,https://www.imdb.com/title/tt7019842/,movie,8.6,158,2018,"Drama, Romance",20854,2018-10-03,C. Prem Kumar,10,2021-05-11
2,tt1187064,2021-05-11,2021-05-11,,Triangle,https://www.imdb.com/title/tt1187064/,movie,6.9,99,2009,"Fantasy, Mystery, Sci-Fi, Thriller",105297,2009-08-27,Christopher Smith,,
3,tt1130884,2021-05-11,2021-05-11,,Shutter Island,https://www.imdb.com/title/tt1130884/,movie,8.2,138,2010,"Mystery, Thriller",1156783,2010-02-13,Martin Scorsese,,
4,tt1392190,2021-05-11,2021-05-11,,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,movie,8.1,120,2015,"Action, Adventure, Sci-Fi, Thriller",900078,2015-05-07,George Miller,,
5,tt0983946,2021-05-11,2021-05-11,,Fantasy Island,https://www.imdb.com/title/tt0983946/,movie,4.9,109,2020,"Action, Adventure, Fantasy, Horror, Mystery, Thriller",39633,2020-02-12,Jeff Wadlow,,
6,tt1446714,2021-05-11,2021-05-11,,Prometheus,https://www.imdb.com/title/tt1446714/,movie,7.0,124,2012,"Adventure, Mystery, Sci-Fi",574140,2012-04-11,Ridley Scott,,
7,tt2316204,2021-05-11,2021-05-11,,Alien: Covenant,https://www.imdb.com/title/tt2316204/,movie,6.4,122,2017,"Horror, Sci-Fi, Thriller",258689,2017-05-04,Ridley Scott,,
8,tt0816692,2021-05-11,2021-05-11,,Interstellar,https://www.imdb.com/title/tt0816692/,movie,8.6,169,2014,"Adventure, Drama, Sci-Fi",1553395,2014-10-26,Christopher Nolan,,
9,tt2543164,2021-05-11,2021-05-11,,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Sci-Fi",609741,2016-09-01,Denis Villeneuve,,
10,tt3659388,2021-05-11,2021-05-11,,The Martian,https://www.imdb.com/title/tt3659388/,movie,8.0,144,2015,"Adventure, Drama, Sci-Fi",774149,2015-09-11,Ridley Scott,,
11,tt1386697,2021-05-11,2021-05-11,,Suicide Squad,https://www.imdb.com/title/tt1386697/,movie,5.9,123,2016,"Action, Adventure, Fantasy, Sci-Fi",618213,2016-08-01,David Ayer,,
12,tt7713068,2021-05-11,2021-05-11,,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,https://www.imdb.com/title/tt7713068/,movie,6.1,109,2020,"Action, Adventure, Comedy, Crime",182413,2020-01-25,Cathy Yan,,
13,tt1922777,2021-05-11,2021-05-11,,Sinister,https://www.imdb.com/title/tt1922777/,movie,6.8,110,2012,"Horror, Mystery, Thriller",225470,2012-03-11,Scott Derrickson,,
14,tt2229499,2021-05-11,2021-05-11,,Don Jon,https://www.imdb.com/title/tt2229499/,movie,6.5,90,2013,"Comedy, Drama, Romance",230998,2013-01-18,Joseph Gordon-Levitt,,
15,tt6473300,2021-05-11,2021-05-11,,Mirzapur,https://www.imdb.com/title/tt6473300/,tvSeries,8.4,60,2018,"Action, Crime, Drama, Thriller",53433,2018-11-15,,,
16,tt6077448,2021-05-11,2021-05-11,,Sacred Games,https://www.imdb.com/title/tt6077448/,tvSeries,8.6,50,2018,"Action, Crime, Drama, Thriller",77112,2018-06-28,,,
17,tt1954470,2021-05-11,2021-05-11,,Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,movie,8.2,321,2012,"Action, Comedy, Crime, Drama, Thriller",84585,2012-05-22,Anurag Kashyap,,
18,tt10443846,2021-05-11,2021-05-11,,Yeh Saali Aashiqui,https://www.imdb.com/title/tt10443846/,movie,7.9,137,2019,"Drama, Romance, Thriller",3102,2019-11-29,Cherag Ruparel,,
19,tt5308322,2021-05-11,2021-05-11,,Happy Death Day,https://www.imdb.com/title/tt5308322/,movie,6.6,96,2017,"Comedy, Horror, Mystery, Thriller",120327,2017-10-07,Christopher Landon,,
20,tt8155288,2021-05-11,2021-05-11,,Happy Death Day 2U,https://www.imdb.com/title/tt8155288/,movie,6.2,100,2019,"Comedy, Horror, Mystery, Sci-Fi, Thriller",61556,2019-02-13,Christopher Landon,,
21,tt4731136,2021-05-11,2021-05-11,,A Cure for Wellness,https://www.imdb.com/title/tt4731136/,movie,6.4,146,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",89105,2016-12-10,Gore Verbinski,,
22,tt4559006,2021-05-11,2021-05-11,,Ae Dil Hai Mushkil,https://www.imdb.com/title/tt4559006/,movie,5.8,158,2016,"Drama, Music, Musical, Romance",21414,2016-10-27,Karan Johar,,
23,tt8983202,2021-05-11,2021-05-11,,Kabir Singh,https://www.imdb.com/title/tt8983202/,movie,7.1,173,2019,"Action, Drama, Romance",27031,2019-06-20,Sandeep Reddy Vanga,,
24,tt2872732,2021-05-11,2021-05-11,,Lucy,https://www.imdb.com/title/tt2872732/,movie,6.4,89,2014,"Action, Sci-Fi, Thriller",454457,2014-07-25,Luc Besson,,
25,tt0396171,2021-05-11,2021-05-11,,Perfume: The Story of a Murderer,https://www.imdb.com/title/tt0396171/,movie,7.5,147,2006,"Crime, Drama, Fantasy",237095,2006-09-07,Tom Tykwer,,
26,tt1645170,2021-05-11,2021-05-11,,The Dictator,https://www.imdb.com/title/tt1645170/,movie,6.4,83,2012,Comedy,283026,2012-05-16,Larry Charles,,
27,tt1542344,2021-05-11,2021-05-11,,127 Hours,https://www.imdb.com/title/tt1542344/,movie,7.5,94,2010,"Biography, Drama",352561,2010-09-04,Danny Boyle,,
